name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;951;0;1022;3139;1900;3139;1830;0
header;174;124;174;155;1858;155;1858;124
A;992;189;992;215;1014;215;1014;189
A;1629;460;1629;464;1631;464;1631;460
A;999;883;999;885;999;885;999;883
A;1213;908;1213;968;1266;968;1266;908
A;1018;910;1018;968;1067;968;1067;910
A;1282;910;1282;967;1330;967;1330;910
D;1415;910;1415;968;1466;968;1466;910
B;1140;912;1140;968;1196;968;1196;912
D;1022;1402;1022;1456;1070;1456;1070;1402
C;1385;1402;1385;1455;1421;1455;1421;1402
B;1251;1403;1251;1456;1300;1456;1300;1403
A;1317;1403;1317;1456;1366;1456;1366;1403
A;1497;1404;1497;1456;1547;1456;1547;1404
B;995;1526;995;1544;1029;1544;1029;1526
A;1017;1596;1017;1600;1051;1600;1051;1596
B;1010;1648;1010;1675;1032;1675;1032;1648
A;1842;1692;1842;1692;1842;1692;1842;1692
C;1012;2258;1012;2285;1031;2285;1031;2258
A;1732;2440;1732;2445;1737;2445;1737;2440
A;1727;2454;1727;2459;1732;2459;1732;2454
A;1114;2863;1114;2863;1114;2863;1114;2863
