name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;516;0;611;3143;1912;3143;1841;0
header;918;161;918;226;1259;226;1259;161
A;1330;752;1330;754;1330;754;1330;752
A;1061;786;1061;790;1065;790;1065;786
A;1561;1252;1561;1254;1565;1254;1565;1252
A;1133;1530;1133;1533;1137;1533;1137;1530
A;793;1651;793;1659;800;1659;800;1651
A;1051;1707;1051;1711;1055;1711;1055;1707
A;1555;1917;1555;1921;1560;1921;1560;1917
A;614;2318;614;2323;621;2323;621;2318
A;650;2318;650;2323;657;2323;657;2318
A;613;2333;613;2339;621;2339;621;2333
A;650;2333;650;2339;656;2339;656;2333
A;590;2378;590;2384;597;2384;597;2378
A;624;2378;624;2385;632;2385;632;2378
A;618;2532;618;2539;625;2539;625;2532
A;593;2564;593;2570;600;2570;600;2564
A;669;2578;669;2583;676;2583;676;2578
A;593;2579;593;2586;601;2586;601;2579
